5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
10/02/2017 0:00,21,71.9,21,69.7,11,62.7,53,69.1,3,100,0
10/02/2017 0:05,12,71.9,14,69.7,7,62.7,33,69,3,100,0
10/02/2017 0:10,7,72,11,69.7,5,62.7,23,68.9,3,100,0
10/02/2017 0:15,9,71.6,11,69.5,3,62.7,23,69.4,3,100,0
10/02/2017 0:20,10,71.6,17,69.7,5,62.6,32,69.2,3,100,0
10/02/2017 0:25,10,71.8,18,69.7,5,62.6,33,69.3,3,100,0
10/02/2017 0:30,12,71.1,9,69.4,6,62.7,27,68.7,3,100,0
10/02/2017 0:35,8,71.6,11,69.7,2,62.5,21,69.7,3,100,0
10/02/2017 0:40,3,71.7,8,69.6,6,62.4,17,67.4,3,100,0
10/02/2017 0:45,16,71.9,12,68.9,1,62.4,29,70.3,3,100,0
10/02/2017 0:50,11,71.5,14,69.1,4,62.6,29,69.1,3,100,0
10/02/2017 0:55,11,71.8,7,69.6,5,62.2,23,69,3,100,0
10/02/2017 1:00,9,71.3,8,69.7,5,62.3,22,68.7,3,100,0
10/02/2017 1:05,8,71.2,13,69.9,1,62.5,22,70,3,100,0
10/02/2017 1:10,5,71.6,6,70,3,62.7,14,69,3,100,0
10/02/2017 1:15,7,71.8,7,69.9,2,62.7,16,69.8,3,100,0
10/02/2017 1:20,6,71.8,6,69.8,1,62.7,13,70.2,3,100,0
10/02/2017 1:25,5,71.6,5,69.8,0,62.7,10,70.7,3,100,0
10/02/2017 1:30,8,71.6,10,69.9,3,62.5,21,69.5,3,100,0
10/02/2017 1:35,6,71.7,6,69.8,1,62.7,13,70.1,3,100,0
10/02/2017 1:40,6,71.2,6,69.8,2,62.6,14,69.4,3,100,0
10/02/2017 1:45,10,71.6,7,69.9,7,62.6,24,68.5,3,100,0
10/02/2017 1:50,4,71.8,9,69.8,1,62.7,14,69.9,3,100,0
10/02/2017 1:55,3,72,7,69.7,1,62.8,11,69.7,3,100,0
10/02/2017 2:00,8,72.2,5,69.3,1,62.6,14,70.5,3,100,0
10/02/2017 2:05,5,72.1,3,69.3,1,62.7,9,70.1,3,100,0
10/02/2017 2:10,4,71.4,6,69.5,2,62.5,12,69,3,100,0
10/02/2017 2:15,7,71.7,5,69.1,0,62.5,12,70.6,3,100,0
10/02/2017 2:20,6,71.3,2,69.5,3,62.6,11,68.6,3,100,0
10/02/2017 2:25,6,71.9,14,69.4,3,62.7,23,69.2,3,100,0
10/02/2017 2:30,7,71.9,9,68.9,1,62.7,17,69.8,3,100,0
10/02/2017 2:35,5,72,5,69.3,5,62.6,15,68,3,100,0
10/02/2017 2:40,7,71.6,10,69.5,2,62.6,19,69.5,3,100,0
10/02/2017 2:45,6,70.9,8,69,7,62.4,21,67.3,3,100,0
10/02/2017 2:50,4,71.3,12,69.5,14,62.6,30,66.5,3,100,0
10/02/2017 2:55,9,70.8,7,69.8,7,62.5,23,68,3,100,0
10/02/2017 3:00,8,71.5,8,69.8,4,62.4,20,69,3,100,0
10/02/2017 3:05,8,71.8,2,69.5,8,62.5,18,67.4,3,100,0
10/02/2017 3:10,6,71.8,9,69.6,4,62.6,19,68.8,3,100,0
10/02/2017 3:15,4,71.8,7,69.7,3,62.8,14,68.8,3,100,0
10/02/2017 3:20,7,71.7,11,68.5,9,62.7,27,67.4,3,100,0
10/02/2017 3:25,6,71.9,5,69.2,3,62.7,14,69,3,100,0
10/02/2017 3:30,8,72,17,69,2,62.6,27,69.4,3,100,0
10/02/2017 3:35,11,72.3,15,67.2,13,62.7,39,67.1,3,100,0
10/02/2017 3:40,14,72.5,10,68.5,11,62.6,35,68.2,3,100,0
10/02/2017 3:45,7,72.1,17,69.3,7,62,31,68.3,3,100,0
10/02/2017 3:50,5,72,22,69.6,14,62.1,41,67.3,3,100,0
10/02/2017 3:55,9,71.5,18,69.6,7,62.5,34,68.6,3,100,0
10/02/2017 4:00,4,71.8,16,69.9,5,62.6,25,68.7,3,100,0
10/02/2017 4:05,8,71.5,13,70.1,12,62.6,33,67.7,3,100,0
10/02/2017 4:10,7,71.6,24,70.2,13,62.3,44,68.1,3,100,0
10/02/2017 4:15,12,72.1,26,70.3,23,62.6,61,67.8,3,100,0
10/02/2017 4:20,12,71.8,31,70.4,20,62.5,63,68.2,3,100,0
10/02/2017 4:25,12,72,31,69.4,20,62.5,63,67.7,3,100,0
10/02/2017 4:30,15,71.2,29,69.5,29,61.7,73,66.8,3,100,0
10/02/2017 4:35,21,69.9,37,70.4,39,62.4,97,67.1,3,100,0
10/02/2017 4:40,15,70.6,39,70.8,32,61.8,86,67.4,3,100,0
10/02/2017 4:45,20,70.9,45,71.3,47,60.1,112,66.5,3,100,0
10/02/2017 4:50,18,71.3,37,71.3,34,62.1,89,67.8,3,100,0
10/02/2017 4:55,21,71.3,48,71.7,44,62.8,113,68.2,3,100,0
10/02/2017 5:00,22,71.4,41,71.3,43,63.2,106,68,3,100,0
10/02/2017 5:05,21,70.9,45,69.4,68,62.4,134,66.1,3,100,0
10/02/2017 5:10,28,72.3,50,66.7,62,60.4,140,65,3,100,0
10/02/2017 5:15,24,72.8,54,68.4,80,60.8,158,65.2,3,100,0
10/02/2017 5:20,23,73.1,55,67.8,71,60.2,149,65,3,100,0
